3P,01,01,2L,01,01,01,3P,01,01,01,2L,01,01,3P
01,2P,01,01,01,3L,01,01,01,3L,01,01,01,2P,01
01,01,2P,01,01,01,2L,01,2L,01,01,01,2P,01,01
2L,01,01,2P,01,01,01,2L,01,01,01,2P,01,01,2L
01,01,01,01,2P,01,01,01,01,01,2P,01,01,01,01
01,3L,01,01,01,3L,01,01,01,3L,01,01,01,3L,01
01,01,2L,01,01,01,2L,01,2L,01,01,01,2L,01,01
3P,01,01,2L,01,01,01,PY,01,01,01,2L,01,01,3P
01,01,2L,01,01,01,2L,01,2L,01,01,01,2L,01,01
01,3L,01,01,01,3L,01,01,01,3L,01,01,01,3L,01
01,01,01,01,2P,01,01,01,01,01,2P,01,01,01,01
2L,01,01,2P,01,01,01,2L,01,01,01,2P,01,01,2L
01,01,2P,01,01,01,2L,01,2L,01,01,01,2P,01,01
01,2P,01,01,01,3L,01,01,01,3L,01,01,01,2P,01
3P,01,01,2L,01,01,01,3P,01,01,01,2L,01,01,3P
